Date,Ticker,MOM_1M,MOM_3M,MOM_6M,MOM_12M,VOL_1M_STD,VOL_3M_STD,SMA50,SMA200,PriceToSMA50,PriceToSMA200
2020-05-15,AAPL,,,,,,,,,,
2020-05-15,AMGN,,,,,,,,,,
2020-05-15,AXP,,,,,,,,,,
2020-05-15,BA,,,,,,,,,,
2020-05-15,CAT,,,,,,,,,,
2020-05-15,CRM,,,,,,,,,,
2020-05-15,CSCO,,,,,,,,,,
2020-05-15,CVX,,,,,,,,,,
2020-05-15,DIS,,,,,,,,,,
2020-05-15,DOW,,,,,,,,,,
2020-05-15,GS,,,,,,,,,,
2020-05-15,HD,,,,,,,,,,
2020-05-15,HON,,,,,,,,,,
2020-05-15,IBM,,,,,,,,,,
2020-05-15,INTC,,,,,,,,,,
2020-05-15,JNJ,,,,,,,,,,
2020-05-15,JPM,,,,,,,,,,
2020-05-15,KO,,,,,,,,,,
2020-05-15,MCD,,,,,,,,,,
2020-05-15,MMM,,,,,,,,,,
2020-05-15,MRK,,,,,,,,,,
2020-05-15,MSFT,,,,,,,,,,
2020-05-15,NKE,,,,,,,,,,
2020-05-15,PG,,,,,,,,,,
2020-05-15,TRV,,,,,,,,,,
2020-05-15,UNH,,,,,,,,,,
2020-05-15,V,,,,,,,,,,
2020-05-15,VZ,,,,,,,,,,
2020-05-15,WBA,,,,,,,,,,
2020-05-15,WMT,,,,,,,,,,
2020-05-22,AAPL,,,,,,,,,,
2020-05-22,AMGN,,,,,,,,,,
2020-05-22,AXP,,,,,,,,,,
2020-05-22,BA,,,,,,,,,,
2020-05-22,CAT,,,,,,,,,,
2020-05-22,CRM,,,,,,,,,,
2020-05-22,CSCO,,,,,,,,,,
2020-05-22,CVX,,,,,,,,,,
2020-05-22,DIS,,,,,,,,,,
2020-05-22,DOW,,,,,,,,,,
2020-05-22,GS,,,,,,,,,,
2020-05-22,HD,,,,,,,,,,
2020-05-22,HON,,,,,,,,,,
2020-05-22,IBM,,,,,,,,,,
2020-05-22,INTC,,,,,,,,,,
2020-05-22,JNJ,,,,,,,,,,
2020-05-22,JPM,,,,,,,,,,
2020-05-22,KO,,,,,,,,,,
2020-05-22,MCD,,,,,,,,,,
2020-05-22,MMM,,,,,,,,,,
2020-05-22,MRK,,,,,,,,,,
2020-05-22,MSFT,,,,,,,,,,
2020-05-22,NKE,,,,,,,,,,
2020-05-22,PG,,,,,,,,,,
2020-05-22,TRV,,,,,,,,,,
2020-05-22,UNH,,,,,,,,,,
2020-05-22,V,,,,,,,,,,
2020-05-22,VZ,,,,,,,,,,
2020-05-22,WBA,,,,,,,,,,
2020-05-22,WMT,,,,,,,,,,
2020-05-29,AAPL,,,,,,,,,,
2020-05-29,AMGN,,,,,,,,,,
2020-05-29,AXP,,,,,,,,,,
2020-05-29,BA,,,,,,,,,,
2020-05-29,CAT,,,,,,,,,,
2020-05-29,CRM,,,,,,,,,,
2020-05-29,CSCO,,,,,,,,,,
2020-05-29,CVX,,,,,,,,,,
2020-05-29,DIS,,,,,,,,,,
2020-05-29,DOW,,,,,,,,,,
2020-05-29,GS,,,,,,,,,,
2020-05-29,HD,,,,,,,,,,
2020-05-29,HON,,,,,,,,,,
2020-05-29,IBM,,,,,,,,,,
2020-05-29,INTC,,,,,,,,,,
2020-05-29,JNJ,,,,,,,,,,
2020-05-29,JPM,,,,,,,,,,
2020-05-29,KO,,,,,,,,,,
2020-05-29,MCD,,,,,,,,,,
2020-05-29,MMM,,,,,,,,,,
2020-05-29,MRK,,,,,,,,,,
2020-05-29,MSFT,,,,,,,,,,
2020-05-29,NKE,,,,,,,,,,
2020-05-29,PG,,,,,,,,,,
2020-05-29,TRV,,,,,,,,,,
