,0
2020-05-15,1000000.0
2020-05-22,1047542.6186090457
2020-05-29,1089913.2348933832
2020-06-05,1235673.3739074676
2020-06-12,1172386.8615483704
2020-06-19,1204897.3827000854
2020-06-26,1151393.6540515262
2020-07-02,1210712.8837553114
2020-07-10,1209120.768298912
2020-07-17,1249638.128407876
2020-07-24,1254701.1981287692
2020-07-31,1273588.503613859
2020-08-07,1296289.4751643622
2020-08-14,1314290.7472908648
2020-08-21,1328234.9541141547
2020-08-28,1342116.6227404887
2020-09-04,1333082.3649075287
2020-09-11,1334306.8792614315
2020-09-18,1327379.4179134436
2020-09-25,1305326.3200258962
2020-10-02,1308897.8682418931
2020-10-09,1340812.9550867267
2020-10-16,1335888.746850451
2020-10-23,1327256.359113936
2020-10-30,1265973.357219651
2020-11-06,1307771.2837393004
2020-11-13,1367577.2695056493
2020-11-20,1397344.8561706226
2020-11-27,1436947.9020873732
2020-12-04,1520721.674027641
2020-12-11,1484935.9213107373
2020-12-18,1436401.2827168687
2020-12-24,1416914.9145446245
2020-12-31,1430790.8060134873
2021-01-08,1423637.5685517427
2021-01-15,1407667.6936877074
2021-01-22,1403879.0672138126
2021-01-29,1373357.7294803492
2021-02-05,1399323.2403425062
2021-02-12,1385611.8277658233
2021-02-19,1377499.4260749195
2021-02-26,1342430.3846299492
2021-03-05,1356621.3671227712
2021-03-12,1430181.418085307
2021-03-19,1425313.1559359266
2021-03-26,1466284.7116461375
2021-04-01,1456244.2365621766
2021-04-09,1461699.0433374231
2021-04-16,1476284.8917580668
2021-04-23,1484682.0841409822
2021-04-30,1473591.4557706383
2021-05-07,1493528.90731006
2021-05-14,1499886.6015143914
2021-05-21,1490730.0940304082
2021-05-28,1489169.3325050883
2021-06-04,1494433.8150616873
2021-06-11,1490792.4423722513
2021-06-18,1445664.0454008477
2021-06-25,1503073.3242815654
2021-07-02,1519807.3148208607
2021-07-09,1536647.9322515754
2021-07-16,1551560.4552146941
2021-07-23,1569554.5589163273
2021-07-30,1575243.3927982084
2021-08-06,1575609.6579897031
2021-08-13,1603758.8282138156
2021-08-20,1617794.5453121066
2021-08-27,1580787.5063052415
2021-09-03,1601655.71366454
2021-09-10,1574038.791030872
2021-09-17,1562177.4135072445
2021-09-24,1560738.7968029112
2021-10-01,1536633.6616218416
2021-10-08,1569739.1405198711
2021-10-15,1573099.1276030722
2021-10-22,1592676.0296844917
2021-10-29,1616502.9235496128
2021-11-05,1634431.7371819245
2021-11-12,1632293.6052423725
2021-11-19,1598899.334417205
2021-11-26,1581360.5319405817
2021-12-03,1586114.4030905766
2021-12-10,1662686.9916417128
2021-12-17,1607760.1760539864
2021-12-23,1650539.654468637
2021-12-31,1664592.0640320873
2022-01-07,1677454.6540308078
2022-01-14,1651194.4245450215
2022-01-21,1632592.3130324192
2022-01-28,1655157.6016996603
2022-02-04,1699241.6370567065
2022-02-11,1698692.5712383392
2022-02-18,1706993.6591431575
2022-02-25,1726277.4631198647
2022-03-04,1737274.2978393203
2022-03-11,1700881.29078402
2022-03-18,1727834.856720788
2022-03-25,1739216.604556393
2022-04-01,1769753.7919133499
2022-04-08,1814701.943234245
2022-04-14,1815405.5261855798
2022-04-22,1849950.5148581422
2022-04-29,1834648.1530309254
2022-05-06,1848224.4913448326
2022-05-13,1841373.6321252126
2022-05-20,1723524.2718231597
2022-05-27,1778051.736792994
2022-06-03,1840297.3510344748
2022-06-10,1789115.7963889895
2022-06-17,1686168.3498252549
2022-06-24,1768504.3175553584
2022-07-01,1782626.313828978
2022-07-08,1775505.8829901866
2022-07-15,1790146.7913697674
2022-07-22,1893918.7339606117
2022-07-29,1917990.2633915807
2022-08-05,1889153.1698871215
2022-08-12,1900875.512395797
2022-08-19,1849169.7686149974
2022-08-26,1777260.5642054777
2022-09-02,1730795.074625274
2022-09-09,1762579.766585754
2022-09-16,1709102.9815028203
2022-09-23,1660006.5509744869
2022-09-30,1609437.8749408997
2022-10-07,1648184.7693367796
2022-10-14,1711033.5952300674
2022-10-21,1774732.658765213
2022-10-28,1847669.1366873505
2022-11-04,1809040.5585255472
2022-11-11,1944503.9882211937
2022-11-18,1889304.1326610595
2022-11-25,1936086.7563592265
2022-12-02,1962082.3300121538
2022-12-09,1940461.8341996353
2022-12-16,1922209.9982473545
2022-12-23,1961238.504202392
2022-12-30,1954973.6765050741
2023-01-06,1981874.1670864795
2023-01-13,1936017.1080157033
2023-01-20,1885339.6010304277
2023-01-27,1869503.87232371
2023-02-03,1920855.20088718
2023-02-10,1857206.2230081093
2023-02-17,1829364.8489910217
2023-02-24,1801975.2820286746
2023-03-03,1819652.6079109702
2023-03-10,1732512.5625720625
2023-03-17,1722688.1855565843
2023-03-24,1749918.883042148
2023-03-31,1790601.773101442
2023-04-06,1838868.553232204
2023-04-14,1836471.1116470937
2023-04-21,1850332.988769145
2023-04-28,1861123.037408294
2023-05-05,1855400.1589679613
