,0
2020-05-15,1000000.0
2020-05-22,1047542.6186090457
2020-05-29,1089913.2348933832
2020-06-05,1235673.3739074676
2020-06-12,1172386.8615483704
2020-06-19,1204897.3827000854
2020-06-26,1151393.6540515262
2020-07-02,1210712.8837553114
2020-07-10,1209120.768298912
2020-07-17,1249638.128407876
2020-07-24,1254701.1981287692
2020-07-31,1273588.503613859
2020-08-07,1296289.4751643622
2020-08-14,1314290.7472908648
2020-08-21,1328234.9541141547
2020-08-28,1342116.6227404887
2020-09-04,1333082.3649075287
2020-09-11,1334306.8792614315
2020-09-18,1339222.609997662
2020-09-25,1317236.2491217593
2020-10-02,1317083.9208511573
2020-10-09,1338941.7425983709
2020-10-16,1334291.2647443085
2020-10-23,1325669.1997872728
2020-10-30,1264459.4813151048
2020-11-06,1313174.8220155032
2020-11-13,1338573.935985878
2020-11-20,1317326.1158259884
2020-11-27,1319147.11349023
2020-12-04,1331473.1505756027
2020-12-11,1322576.2712445606
2020-12-18,1337951.4928227307
2020-12-24,1320857.6021306098
2020-12-31,1333792.8013757083
2021-01-08,1327124.505358634
2021-01-15,1312237.2807252377
2021-01-22,1308705.4976743935
2021-01-29,1280253.3015978227
2021-02-05,1300301.6204383518
2021-02-12,1288333.6361932699
2021-02-19,1280790.7733515499
2021-02-26,1248183.787197671
2021-03-05,1259078.9355117353
2021-03-12,1284436.208510582
2021-03-19,1325956.2940667
2021-03-26,1365164.1217874074
2021-04-01,1355816.0761851755
2021-04-09,1360894.698666678
2021-04-16,1374474.6513126672
2021-04-23,1382292.7412605826
2021-04-30,1371966.9649505555
2021-05-07,1390529.45373961
2021-05-14,1396448.697087176
2021-05-21,1387923.6573055238
2021-05-28,1386470.5318517087
2021-06-04,1391371.9555990628
2021-06-11,1387981.705867758
2021-06-18,1345965.5353861225
2021-06-25,1409027.900537365
2021-07-02,1417426.760195444
2021-07-09,1420306.6413822742
2021-07-16,1434090.1209677698
2021-07-23,1450721.871453194
2021-07-30,1455979.9975174495
2021-08-06,1456318.5323718353
2021-08-13,1482336.4982178737
2021-08-20,1495309.5558668405
2021-08-27,1461104.3601442734
2021-09-03,1480392.6127648493
2021-09-10,1454866.597463696
2021-09-17,1453372.7952784398
2021-09-24,1482001.3818229113
2021-10-01,1459404.2028665785
2021-10-08,1486575.9241957574
2021-10-15,1489757.9025095818
2021-10-22,1508297.639815831
2021-10-29,1530862.2085737495
2021-11-05,1547841.1715155544
2021-11-12,1545816.3156767434
2021-11-19,1514191.240061743
2021-11-26,1460817.5686875228
2021-12-03,1472345.894653361
2021-12-10,1543117.4141000505
2021-12-17,1488996.695921127
2021-12-23,1522450.5519550235
2021-12-31,1535412.4330211652
2022-01-07,1547276.8297292995
2022-01-14,1523054.509007189
2022-01-21,1505896.0027797166
2022-01-28,1516919.6923679393
2022-02-04,1547365.8604929696
2022-02-11,1531294.4883093536
2022-02-18,1538469.787928383
2022-02-25,1555849.787939273
2022-03-04,1565760.9542099296
2022-03-11,1514599.452333122
2022-03-18,1542504.4723677833
2022-03-25,1566878.5725887658
2022-04-01,1594709.0437457287
2022-04-08,1635211.4140407445
2022-04-14,1635845.4062382162
2022-04-22,1666973.5813007315
2022-04-29,1660352.3016525034
2022-05-06,1672973.4508682787
2022-05-13,1665199.5682212606
2022-05-20,1628223.8934441132
2022-05-27,1690367.0162279557
2022-06-03,1731989.738165413
2022-06-10,1695297.5014164634
2022-06-17,1598068.0635429828
2022-06-24,1673499.3499123955
2022-07-01,1690988.4802628194
2022-07-08,1675510.6050993213
2022-07-15,1674698.332569005
2022-07-22,1745635.3579877045
2022-07-29,1767822.219621238
2022-08-05,1741242.911258988
2022-08-12,1752047.4590965784
2022-08-19,1714600.140137423
2022-08-26,1647923.9841400862
2022-09-02,1608440.2739752564
2022-09-09,1636110.698594175
2022-09-16,1596112.3541332257
2022-09-23,1547272.8941432047
2022-09-30,1504264.1248255668
2022-10-07,1527501.3246552853
2022-10-14,1585431.0819037994
2022-10-21,1644454.163331494
2022-10-28,1727822.2520101783
2022-11-04,1652237.5561985553
2022-11-11,1747476.151550276
2022-11-18,1731470.061149809
2022-11-25,1776478.1310518445
2022-12-02,1800330.661392693
2022-12-09,1780492.53282367
2022-12-16,1763745.3559142295
2022-12-23,1800657.037703258
2022-12-30,1795561.5607418607
2023-01-06,1845168.5378491068
2023-01-13,1801753.326631167
2023-01-20,1754590.3307991314
2023-01-27,1739852.8180164057
2023-02-03,1783036.99315758
2023-02-10,1717130.6538531554
2023-02-17,1699141.1724524738
2023-02-24,1673701.3369013336
2023-03-03,1700905.6630088503
2023-03-10,1612372.5315539613
2023-03-17,1588964.7253273325
2023-03-24,1599993.037626603
2023-03-31,1639307.4993599528
2023-04-06,1683159.2820471893
2023-04-14,1680964.847839235
2023-04-21,1693652.9473249584
2023-04-28,1703529.33054376
2023-05-05,1698291.0464097788
